p_idx,sim_id,il_type,comp_idx,temp,efield,snap_ns,D_cumul
314,62,TFSI,1,300,0,90,0.1381424074074074
315,63,TFSI,1,300,1,100,3.4561833333333336
316,63,TFSI,1,300,1,60,1.0736277777777776
317,63,TFSI,1,300,1,70,2.1499261904761906
318,63,TFSI,1,300,1,80,4.7555
319,63,TFSI,1,300,1,90,6.821722222222222
320,64,TFSI,1,350,0,100,57.064166666666665
321,64,TFSI,1,350,0,60,33.617777777777775
322,64,TFSI,1,350,0,70,46.160714285714285
323,64,TFSI,1,350,0,80,54.51541666666667
324,64,TFSI,1,350,0,90,53.43944444444444
325,65,TFSI,1,350,1,100,7.128833333333334
326,65,TFSI,1,350,1,60,43.5125
327,65,TFSI,1,350,1,70,38.39071428571429
328,65,TFSI,1,350,1,80,34.747499999999995
329,65,TFSI,1,350,1,90,11.743092592592593
330,66,TFSI,1,400,0,100,14.9229
331,66,TFSI,1,400,0,60,33.286944444444444
332,66,TFSI,1,400,0,70,28.381190476190476
333,66,TFSI,1,400,0,80,26.520416666666666
334,66,TFSI,1,400,0,90,30.893148148148146
335,67,TFSI,1,400,1,100,19.380166666666668
336,67,TFSI,1,400,1,60,34.39388888888889
337,67,TFSI,1,400,1,70,23.940714285714286
338,67,TFSI,1,400,1,80,16.965791666666668
339,67,TFSI,1,400,1,90,18.86574074074074
340,68,TFSI,1,450,0,100,60.548
341,68,TFSI,1,450,0,60,17.541194444444443
342,68,TFSI,1,450,0,70,23.52504761904762
343,68,TFSI,1,450,0,80,26.485625000000002
344,68,TFSI,1,450,0,90,66.99111111111111
345,69,TFSI,1,450,1,100,2.9264166666666664
346,69,TFSI,1,450,1,60,76.91777777777779
347,69,TFSI,1,450,1,70,48.99071428571428
348,69,TFSI,1,450,1,80,13.502395833333333
349,69,TFSI,1,450,1,90,5.3379259259259255
350,70,TFSI,2,250,0,100,3.5327333333333333
351,70,TFSI,2,250,0,60,14.028527777777779
352,70,TFSI,2,250,0,70,5.6589285714285715
353,70,TFSI,2,250,0,80,5.441520833333333
354,70,TFSI,2,250,0,90,3.0390185185185183
355,71,TFSI,2,250,1,100,0.22755
356,71,TFSI,2,250,1,60,1.517872222222222
357,71,TFSI,2,250,1,70,0.7892928571428571
358,71,TFSI,2,250,1,80,0.6798229166666666
359,71,TFSI,2,250,1,90,0.41134074074074073
360,72,TFSI,2,300,0,100,9.522583333333333
361,72,TFSI,2,300,0,60,11.962472222222221
362,72,TFSI,2,300,0,70,15.653285714285715
363,72,TFSI,2,300,0,80,14.775041666666668
364,72,TFSI,2,300,0,90,13.390462962962964
365,73,TFSI,2,300,1,100,9.941
366,73,TFSI,2,300,1,60,12.372472222222223
367,73,TFSI,2,300,1,70,15.818333333333333
368,73,TFSI,2,300,1,80,10.024979166666666
369,73,TFSI,2,300,1,90,13.300500000000001
370,74,TFSI,2,350,0,100,18.109333333333336
371,74,TFSI,2,350,0,60,14.039777777777777
372,74,TFSI,2,350,0,70,14.133619047619048
373,74,TFSI,2,350,0,80,28.068958333333335
374,74,TFSI,2,350,0,90,22.054259259259258
375,75,TFSI,2,350,1,100,8.153733333333333
376,75,TFSI,2,350,1,60,4.127277777777778
377,75,TFSI,2,350,1,70,1.9988571428571429
378,75,TFSI,2,350,1,80,3.7457083333333334
379,75,TFSI,2,350,1,90,10.542814814814815
380,76,TFSI,2,400,0,100,5.720083333333334
381,76,TFSI,2,400,0,60,0.7161416666666666
382,76,TFSI,2,400,0,70,0.4634214285714286
383,76,TFSI,2,400,0,80,1.656125
384,76,TFSI,2,400,0,90,0.27325555555555553
385,77,TFSI,2,400,1,100,4.103633333333333
386,77,TFSI,2,400,1,60,8.37138888888889
387,77,TFSI,2,400,1,70,8.10254761904762
388,77,TFSI,2,400,1,80,0.5904833333333334
389,77,TFSI,2,400,1,90,2.0387037037037037
390,78,TFSI,2,450,0,100,211.20666666666668
391,78,TFSI,2,450,0,60,224.0327777777778
392,78,TFSI,2,450,0,70,187.12333333333333
393,78,TFSI,2,450,0,80,179.90770833333332
394,78,TFSI,2,450,0,90,207.13888888888889
395,79,TFSI,2,450,1,100,25.66133333333333
396,79,TFSI,2,450,1,60,5.588416666666666
397,79,TFSI,2,450,1,70,3.692428571428571
398,79,TFSI,2,450,1,80,7.795916666666667
399,79,TFSI,2,450,1,90,29.784259259259258
400,80,TFSI,3,250,0,100,1.7473666666666667
401,80,TFSI,3,250,0,60,3.2820277777777775
402,80,TFSI,3,250,0,70,3.9584047619047618
403,80,TFSI,3,250,0,80,3.6641874999999997
404,80,TFSI,3,250,0,90,1.7614092592592592
405,81,TFSI,3,250,1,100,0.40189166666666665
406,81,TFSI,3,250,1,60,0.6335027777777777
407,81,TFSI,3,250,1,70,1.1285809523809525
408,81,TFSI,3,250,1,80,1.05756875
409,81,TFSI,3,250,1,90,0.3352425925925926
410,82,TFSI,3,300,0,100,7.55175
411,82,TFSI,3,300,0,60,13.680333333333333
412,82,TFSI,3,300,0,70,12.783952380952382
413,82,TFSI,3,300,0,80,13.269166666666667
414,82,TFSI,3,300,0,90,10.905888888888889
415,83,TFSI,3,300,1,100,10.7466
416,83,TFSI,3,300,1,60,3.2495555555555553
417,83,TFSI,3,300,1,70,5.156547619047619
418,83,TFSI,3,300,1,80,15.433625000000001
419,83,TFSI,3,300,1,90,8.98624074074074
420,84,TFSI,3,350,0,100,44.49683333333333
421,84,TFSI,3,350,0,60,51.315000000000005
422,84,TFSI,3,350,0,70,41.07333333333333
423,84,TFSI,3,350,0,80,51.61625
424,84,TFSI,3,350,0,90,56.93240740740741
425,85,TFSI,3,350,1,100,13.094783333333334
426,85,TFSI,3,350,1,60,2.6779583333333337
427,85,TFSI,3,350,1,70,0.7696285714285716
428,85,TFSI,3,350,1,80,0.18158125
429,85,TFSI,3,350,1,90,1.1038351851851853
430,86,TFSI,3,400,0,100,31.220333333333336
431,86,TFSI,3,400,0,60,9.698055555555555
432,86,TFSI,3,400,0,70,2.392952380952381
433,86,TFSI,3,400,0,80,14.631916666666665
434,86,TFSI,3,400,0,90,18.141148148148147
435,87,TFSI,3,400,1,100,19.5505
436,87,TFSI,3,400,1,60,8.328972222222221
437,87,TFSI,3,400,1,70,7.882095238095238
438,87,TFSI,3,400,1,80,12.038
439,87,TFSI,3,400,1,90,11.378574074074075
440,88,TFSI,3,450,0,100,69.809
441,88,TFSI,3,450,0,60,80.29166666666667
442,88,TFSI,3,450,0,70,88.5807142857143
443,88,TFSI,3,450,0,80,63.9625
444,88,TFSI,3,450,0,90,88.85407407407406
445,89,TFSI,3,450,1,100,63.07933333333333
446,89,TFSI,3,450,1,60,131.5222222222222
447,89,TFSI,3,450,1,70,103.05690476190476
448,89,TFSI,3,450,1,80,130.93354166666666
449,89,TFSI,3,450,1,90,80.15333333333334
450,90,TFSI,4,250,0,100,5492.883333333333
451,90,TFSI,4,250,0,60,5094.166666666667
452,90,TFSI,4,250,0,70,4972.666666666667
453,90,TFSI,4,250,0,80,4731.4375
454,90,TFSI,4,250,0,90,5236.648148148148
455,91,TFSI,4,250,1,100,8216.016666666666
456,91,TFSI,4,250,1,60,4912.083333333333
457,91,TFSI,4,250,1,70,6049.785714285715
458,91,TFSI,4,250,1,80,7056.333333333333
459,91,TFSI,4,250,1,90,7697.907407407408
460,92,TFSI,4,300,0,100,14084.583333333334
461,92,TFSI,4,300,0,60,9733.527777777777
462,92,TFSI,4,300,0,70,11339.0
463,92,TFSI,4,300,0,80,13112.9375
464,92,TFSI,4,300,0,90,13676.277777777777
465,93,TFSI,4,300,1,100,7431.05
466,93,TFSI,4,300,1,60,696.1472222222222
467,93,TFSI,4,300,1,70,1048.8357142857142
468,93,TFSI,4,300,1,80,2745.1666666666665
469,93,TFSI,4,300,1,90,5133.537037037037
470,94,TFSI,4,350,0,100,1313.6833333333334
